,aveFitness,peakFitness,peakParameters,generation
0,0.8347764917690165,0.9016926851374756,"[-0.5290179170152998, 0.1477893783938346, -0.05286740499870857, -0.35172167973937674, -0.09390784144486578, -0.05553383929812428, -0.3499143737423553, 0.162150131973024]",171
1,0.8378049341836086,0.9217043703447139,"[0.2355186472105445, 0.39938314619912263, 0.1366797231748546, 0.0847486289175216, -0.2841458848657288, -0.058749931770988556, -0.23668209602772416, -0.19833139269568345]",221
2,0.8018120048378801,0.9167452525144604,"[0.33059916700434133, -0.12634257222453182, 0.13391068140411666, 0.4140004273442206, 0.1313276754777789, -0.09826352618294829, 0.010390401495766866, -0.3451847385645513]",89
3,0.8071614456464598,0.9023172837969643,"[0.3813257213860445, 0.2581905967966743, 0.3195125256392932, -0.3038667271286681, -0.1886929125001217, 0.2954773804684454, 0.14838554563352407, -0.15877227833048252]",80
4,0.7688008906121611,0.9134370043023867,"[0.4586345975199314, 0.15827063366551208, 0.35801594739016496, -0.13625067684318737, 0.11762529874180994, 0.28389099977229487, 0.06738713737210078, -0.08465811913851085]",56
5,0.8309577156258068,0.9007068697280453,"[-0.33705279311746295, -0.19471711035655598, 0.2518362693783652, -0.2845828750779464, 0.2718613442231108, 0.47024552405720255, -0.02339683850717461, 0.04043197646813296]",238
6,0.8225240490594321,0.91737697394416,"[0.2847884278123466, -0.0842206850236189, 0.1659149597316848, -0.37145851411544506, -0.27752957239140075, -0.08241444968786135, 0.060378736495325575, 0.3365538025190078]",159
7,0.8180434115514383,0.9034350839724403,"[-0.045469755899222974, 0.4318506225002243, -0.4351483715480859, 0.057447035119465806, 0.21545616211814306, -0.039510894899026816, -0.335137957912102, -0.1730402298694751]",123
8,0.825764975770341,0.9111709060404994,"[0.23814606755687753, -0.14194957286319315, 0.3139396998706701, 0.36887998319824294, -0.08172419767630912, 0.041374904790367206, -0.40448753905893786, -0.14726981573057069]",174
9,0.8030590153864017,0.9124629962066205,"[-0.16850336448758962, -0.1956455699129544, -0.164477195434649, 0.24241488716730997, -0.027298226832956206, -0.40957232838817564, 0.41716081013099016, 0.02398321572744916]",96
10,0.8152338008875631,0.9164787681941793,"[-0.2488202702796263, 0.10414318852561155, -0.08021668516794733, -0.04703712568879809, 0.09017384468565498, 0.11914871531174476, 0.5234030641920917, 0.29813789066674157]",116
