,aveFitness,peakFitness,peakParameters,generation
76,0.5406379012689978,0.8893888568046193,"[0.2479538610481392, 0.10938399863581949, -0.4573147846425447, -0.32604148825062473, 0.4117047677690997, 0.33993251613057385, 0.004712943204091491, 0.13461048312415386]",500
77,0.5524469170440235,0.8424078456653266,"[0.2885251420488022, 0.26919608269144535, -0.2703742115656611, 0.08619256593362778, 0.1987524848425486, -0.767739340680519, -0.3262109736924178, 0.4454536989312993]",500
78,0.5623677514865373,0.8583540799560939,"[-0.5029561777537879, 0.48321406022698987, 0.08316012730132716, 0.2603889559446987, 0.33787612483870977, -0.18977998353728318, 0.16823349613185767, 0.4968737396652605]",500
79,0.4902538301675349,0.8859774270404774,"[0.12791180523200602, 0.041585405726926705, 0.3158107427550788, -0.09167565871400718, 0.6190395510040532, -0.20655292905461065, 0.39038180022986435, 0.16673072095048946]",500
80,0.5573319974834633,0.9332064191489525,"[-0.5716102932117262, -0.09582185202308763, -0.08840009036342078, -0.08407448311909899, -0.00469006885404577, -0.06526736499271779, -0.5192429201655844, -0.003799427808019784]",359
81,0.529487182980265,0.8485509532852376,"[-0.14725942346760534, 0.13328323164745048, 0.43095520094596546, 0.25107397686132815, 0.660567410494532, -0.4591597338333284, 0.09011110544672915, 0.38766457811225163]",500
82,0.5031519555796421,0.8128629854199623,"[-0.168400445143573, -0.4513474289820097, -0.27394480870351945, -0.00545852869788499, 0.8837539105039979, -0.35536770424187425, -0.5208413734540432, -0.17975330668273548]",500
83,0.5276652457451806,0.8502942658891243,"[0.1567840825193174, -0.40776365227035805, -0.10030361042415659, -0.37992753501468957, 0.010492587539091769, 0.5509166283939959, -0.496530571632369, -0.41564411193347905]",500
84,0.5221007149022452,0.8698823679216232,"[-0.28383258680795986, -0.17425758124768564, -0.4039499586495753, 0.16701419888680244, -0.3846678643859276, 0.05168087686525778, -0.07854924098091437, -0.6520312030178652]",500
85,0.6165704508102106,0.9029913178442911,"[0.06944209741295271, 0.6277350163855072, -0.4933240311936779, -0.42236261500175465, 0.1309719172811899, 0.21126995437807888, -0.08064178706009195, 0.759135807432139]",204
86,0.509327475370477,0.883519850481752,"[0.08198875847215865, -0.26304476077266875, -0.22984325297314515, 0.3432034877549561, -0.20499892855963708, 0.5916412948656776, 0.1831375951368137, 0.2790290947726444]",500
87,0.48692086512221594,0.8834397276195052,"[-0.014796525680632167, -0.06182867728043036, -0.15965394398057986, -0.7079665850920674, -0.45554368039654924, -0.03767476152670429, 0.1544652439407887, -0.07493633326393107]",500
88,0.5013102905710213,0.8228748097092741,"[0.45594851908852047, -0.1605069181111513, -0.13905241970233018, 0.5540522914740731, 0.6444421292780929, -0.4548264773278158, -0.41274470300682387, 0.10584041212732326]",500
89,0.5541031491206946,0.8442391394982302,"[-0.12989417997140146, -0.2208197130266637, 0.8152618868179211, -0.07296270852960429, 0.19487209341067502, 0.27230058785011935, 0.03864676896292912, 0.5667642589476742]",500
90,0.5171967468383863,0.8679968521501575,"[-0.21066574064827753, -0.4081508768374308, -0.23512272366117015, -0.17594624179117013, 0.45381919227667866, 0.12208730165335879, -0.4306456130528169, -0.4308031536882174]",500
91,0.5144695692038279,0.8282307113555923,"[-0.6099562827567556, -0.14852533102863402, 0.3610707333967015, -0.41025724591687657, 0.24805627526900026, -0.33365582776692926, 0.6592466776315169, -0.09527224112814298]",500
92,0.5681795417009109,0.8612111314288878,"[0.21843558607797164, -0.2666091852837925, 0.3208984465923613, -0.4326826099898192, 0.6712887419992369, -0.006760439057382689, -0.1917477041895751, 0.2673183632422914]",500
93,0.5625762285078044,0.8153407306421936,"[-0.3418299932714524, -0.3074206448808555, -0.15807210082538564, 0.31344315472081985, -0.0661385991439003, 0.2627648058578308, 0.682840604907174, -0.7745603232939278]",500
94,0.5101023146076742,0.868210518881968,"[-0.6486003573783281, -0.25639629691689014, 0.31528964347463595, -0.3772900018455957, 0.0038450662000841795, -0.16051532337345575, 0.32636607387386407, -0.1927699777732697]",500
95,0.5025094720742815,0.8919479415478555,"[-0.1617312839058882, -0.020827499871660216, 0.6915972382126507, -0.13787742205416387, 0.33564878747095317, -0.02089463199732211, -0.20329263504011214, 0.09936156948179833]",500
96,0.5647618394446074,0.8572961074398776,"[-0.18276229091579776, 0.5354680868227274, 0.2974664466169049, -0.4962194295682807, -0.1986795084106419, 0.15829573205202774, 0.4205894481047814, 0.31579686780392147]",500
97,0.6060490055940997,0.9048414576982452,"[0.7323128957503486, -0.26542956298026976, -0.23946187945027808, 0.27986413243041625, -0.25556174469563264, -0.5215649527572077, -0.03851372392908259, -0.40463294921393855]",495
98,0.5170328726491908,0.8567653631485459,"[0.06891267533286438, 0.7541465362409322, 0.3164227229822533, -0.03101463006832561, 0.0319439625171693, -0.4296728985204097, -0.13827835503163444, -0.3841569815950895]",500
99,0.5888855420303497,0.840832110925055,"[-0.32792679906228683, 0.33902229601582945, 0.014159580163415036, -0.1391871777193529, 0.10623223721851155, 0.09752299430174691, -0.23166341594676368, -0.9652915695046635]",500
