,aveFitness,peakFitness,peakParameters,generation
0,0.5086428419508219,0.5805120881424972,"[-1.0180592956108372, 0.523850081914401, -0.1105537855759291, 0.28477320415425567, 0.7326517743653929, -3.5969834703798718, 0.35720851903336737, -0.8151646390667491]",500
1,0.5324511517841657,0.5928502601503122,"[3.6801897992973522, -0.5048100881302409, 0.10714208813699866, 0.3916612014966505, -0.30647754422330387, 0.27891928910995745, -1.6296946494843212, -0.1589832257471544]",500
2,0.5313111455257681,0.5759705579122267,"[0.14002812509677387, 0.024573094350406777, -0.15839062331576237, 0.6644880661428187, -0.10844358888512762, -2.3918909137454403, -1.2625700154614696, 0.870059173483754]",500
3,0.5150543527908917,0.5495380535011374,"[0.6346406596332974, 0.026381151474891062, -3.994174959967005, -0.5261185684181164, 0.521793791778081, -0.6611711847560828, 0.3301298150067842, 1.380811781786976]",500
4,0.5363459635619522,0.604212980160836,"[-1.1844513909236989, -0.2896543162817693, 0.3804090224813974, -0.9546231759996182, 0.13468429938891013, -1.4207251396059895, -0.23113805202510207, -0.7680087384299492]",500
5,0.5257442589273672,0.6004993272501774,"[0.5196058622867188, -0.2017339103508986, -0.3824109114928289, 2.4163083127080647, -1.1586429087505357, 0.11873094863511202, -0.6019358456419877, 0.2471254398565943]",500
6,0.5216035174161042,0.6200929198947773,"[-0.7757318006594902, 3.6738973398972554, 0.05834192352982459, 0.3293312400360602, -0.05932264055415004, -1.0184038182540114, 0.2816390525359944, 0.47491011090056734]",500
7,0.5449899701868803,0.6679459902372172,"[0.6800720586338755, 0.5130121181355811, -0.33936438575778016, -0.3484833072311657, 0.07346902403268185, -3.1229436026714117, -0.09027972336972923, -0.3427138639041942]",500
8,0.5234284941066091,0.6139910563553772,"[1.4417532361011132, -0.49598255746368025, -0.6780976506144114, -0.9806802664444527, 0.018047573123695315, -0.3064503561694645, 0.8544229645188963, 0.5792165406781145]",500
9,0.5145550489069033,0.5700821682290218,"[0.4934155311573516, 0.26572067033420854, 0.037102817515496156, 0.6790388399964336, -3.647178862880116, 0.6060550821565105, 3.3106690993702017, -0.3911032852413143]",500
10,0.5306850909961061,0.7043921802195323,"[-0.3484287476643555, -0.8094860963420825, -0.0978503074338839, 0.06395178509642996, 0.5907617548805524, -0.3868763902189185, -0.8504751107013142, 1.0018727359298394]",500
11,0.5041055141036603,0.5465965410731853,"[-0.30913144406304127, -3.376331190157116, 0.21547660422095127, -0.4536183673255927, 0.22347779838427684, 3.298814476965962, -0.5641041682288384, -0.9816681485323686]",500
12,0.5308544618576463,0.5732845681245545,"[-0.2546210972604781, 0.7577985469632953, -0.38967951315732474, -0.6515413089372668, 0.07142889823217224, -1.3327963428302092, -0.38608590949439137, 1.998120416611612]",500
13,0.5201456663345375,0.6455495060384752,"[0.749223023219038, 1.4341685147887056, -0.056644791550713336, 0.4860006119608693, 0.03792300384051739, -0.06388765896218018, -0.00528919146011031, 1.3100146399090047]",500
14,0.5224770775212931,0.5551344922014201,"[0.06933026615182492, -0.21131158446856801, -3.3899803281806795, -0.018007656903263225, 0.20006108409031054, 1.4432274671352339, 0.9617284418113261, -0.7707923181918543]",500
15,0.5089148883241246,0.5826118288135708,"[1.7974980093461106, 0.8925966324352306, 0.8239994158320885, -0.8452766902749778, -0.033880881674126506, 0.3116231903296818, -0.566670814948548, -0.5509652605180939]",500
16,0.5156166066642266,0.5705283482981971,"[2.9292851516941685, -0.41784849862155493, 0.23749521956185937, -0.4031791723058884, 0.6672203085427597, 0.009443364084832595, -0.37622189338414636, 3.494059471091985]",500
17,0.5169651527266025,0.5659572388341398,"[-0.46947396750842163, 1.9157848373356137, -0.6591612202766051, -0.05792313495583823, 0.08276066299738094, 0.42650387157333114, 0.8439639753554911, -1.3662991781201494]",500
18,0.5195417209128388,0.6007690358153096,"[-0.5323519760349127, 0.03610198990652158, 0.08205687571583908, 3.6887654477994882, -0.4929921158284536, -0.5694780731591109, 0.19853791315335378, -1.2980001568091093]",500
19,0.5051982738568912,0.5667781660092902,"[0.7452820478855795, 0.431264796513144, 3.105041892527842, -1.2333063206917005, -0.25805812982769627, -0.018142408629296725, -0.3911994309709135, -0.7571948069391334]",500
20,0.5546490945541873,0.686454982268939,"[-0.5330121418734457, 0.10381529050793592, 0.6007066288223548, 0.01819663703101959, -0.2701035812795629, 0.2029403021052314, -0.3570406240964221, 3.868240070983079]",500
21,0.5285685875187047,0.575136191563159,"[0.37936899621098785, 0.7019506047573909, -0.3282921823739251, -0.4327478523973909, 0.7273487533604008, 0.45223548903357, -1.867237430592763, -1.1931813188256113]",500
