,aveFitness,peakFitness,peakParameters,generation
0,0.8510765117718637,0.8979140212205063,"[-0.24967261455760695, -0.10487379239026118, 0.47566095621452725, -0.1258474429903501, -0.10516672798232135, -0.2415671308517635, -0.12998593044207174, 0.46724841375164716]",500
1,0.8700894215509107,0.8940275974259506,"[0.1515171071880766, -0.18888705159099192, -0.12755557127841233, 0.3748846069962671, -0.5238667314944474, 0.1330349747439043, 0.015701569727991915, 0.38299698147716105]",500
2,0.8777370122080969,0.9032140358593146,"[0.13556745505524087, -0.5331170666360601, 0.06820249394253847, -0.24208767298545103, -0.14159432315452966, 0.06401739734900251, -0.35265428758074735, 0.24727187333072195]",466
3,0.858835510898462,0.87481743517944,"[0.43447207323621184, -0.11418496558957081, 0.5029840129750277, 0.24463956799040243, -0.20431197998569572, 0.4880024567848323, 0.17526952505925314, -0.062451029134360625]",500
4,0.8525060971843734,0.9187967216356305,"[-0.1581087129465587, -0.16506943913215102, -0.04537568533623937, -0.22012777222400914, 0.40503103966435006, 0.3478139808569115, 0.04485997639341518, 0.232283208648921]",441
