,aveFitness,peakFitness,peakParameters,generation
0,0.8682744718466662,0.8817392772767974,"[-0.20572455841743637, -0.046226281366070654, -0.41216385562904323, -0.12315375600069113, 0.015779012834881236, -0.25794899028615936, -0.5308733615823074, 0.43278800868518763]",500
1,0.8369442459446932,0.914446285034024,"[0.159752883494237, 0.22120417245277674, -0.20620230730388234, 0.24162962281077818, 0.16365735028956785, 0.3049062228648429, 0.1412092449125486, -0.40281000147069657]",117
2,0.8467907466223312,0.8755947985321665,"[-0.044416749305956904, 0.06356723270306126, 0.3457686081189612, 0.13116870805952718, 0.6931336859360275, 0.25682513177779015, 0.3334372708061189, 0.1865374672130028]",500
3,0.8413469247017907,0.8806054913995383,"[-0.20662631144362292, -0.3001849440589417, -0.011888353154706488, 0.010838524635520319, 0.23617993331868348, 0.09284732608738101, 0.43701416757539, -0.6278558084036646]",500
4,0.8386050321639047,0.9008905321947829,"[0.039933164559833145, 0.1320009709294907, 0.12647510063037043, 0.4052137257783155, -0.1165028990225868, 0.19359867187336738, -0.53855934660427, 0.23667112565145132]",277
5,0.8417507459306448,0.8615378676544051,"[-0.5316690754821207, -0.44118724806912835, 0.014274094139621663, -0.21938069737133994, 0.19652781180659365, -0.44611667844685166, -0.37436944382235227, -0.22565432443462635]",500
6,0.7905868842314013,0.9102306631874629,"[-0.25777631086939323, 0.15745799891640277, -0.0035525570578915366, 0.3818166631615201, 0.4382647683272102, -0.26352080504676906, -0.08277877129034739, 0.09181840129766954]",82
7,0.8654352528095022,0.9440192594903873,"[-0.25398117782248847, 0.1136656237323882, 0.17139514530788427, -0.1960980907153742, -0.26004198838889314, 0.10468295401798075, -0.1781426126051296, 0.019953154620738822]",415
8,0.8563753049469254,0.9188628046486063,"[-0.01416967349172421, -0.010358485818144025, 0.3936959502767968, -0.07457470055507365, 0.3046308419900994, 0.20615637300045447, -0.08144092512722556, 0.37578971147107204]",253
9,0.8702519173115961,0.9003403794133821,"[0.5618288964641408, 0.024918223137748552, -0.19597565803280184, 0.20689953812799095, -0.07993498179968986, 0.08353208277394844, -0.06911836490152404, 0.4336878904967914]",337
10,0.8715607357553022,0.8852833125619348,"[-0.336346713636259, 0.37913770441116396, -0.23500217308974025, 0.40951358189161147, 0.13096853269290967, -0.2685921270159975, -0.21814708575174693, -0.32995723390031384]",500
11,0.8654104087187097,0.8947968606594806,"[0.01945622009954706, -0.003985873671138729, -0.1870949810634824, 0.14011578456739116, -0.01059555285210334, -0.3901117595178216, 0.6678451536135389, 0.08883238394186588]",500
12,0.8431982669506942,0.9046691535258837,"[-0.17497892967235545, -0.0033836619431671933, 0.14481220241774953, 0.22174307040695662, -0.15860782520977904, 0.6517317893650825, 0.08963019922058488, 0.12177098038630968]",329
13,0.848753337466777,0.8825373258038866,"[0.33299071986552836, 0.1322019590761515, -0.21010516753927333, 0.46334601709951106, 0.05286310818754869, 0.14373526884616677, -0.5332180510085167, 0.2506938167619307]",500
14,0.8622298014165215,0.8873907144483362,"[-0.6153089979112312, 0.0641603102137426, 0.11055296918989754, -0.266584439874275, 0.040591450422485686, -0.41237461214015136, 0.12230960305767091, -0.2592185878080868]",500
15,0.8672080319673123,0.8941841390159485,"[0.30225013491286845, -0.6775172278063822, 0.0219791260268474, -0.28264572515664754, -0.08784349589637036, -0.1424551861424913, 0.08848181291847118, 0.010371443877125686]",500
16,0.8149357500581406,0.9092207630945317,"[-0.10244698585211556, 0.20539703795695455, -0.1039478408996819, -0.5372098217637411, -0.18562256242987432, -0.03308132479478987, 0.3112165897476442, 0.20277137133629522]",150
17,0.8404609880134407,0.8562146928327984,"[0.6120054825693397, -0.4744366936538647, 0.24014585234620622, 0.40169657016997706, -0.2628878969452151, -0.10118084061809107, 0.12618156652372908, 0.31256528581509346]",500
18,0.867380215948711,0.9200054743773706,"[0.31690898986565874, 0.16881521098811048, 0.06757291392726332, -0.2775606316639784, 0.4176498922973413, 0.2149300626479137, -0.0470166331588997, -0.03448041478639363]",275
19,0.8389092430177867,0.8580680476180017,"[0.39108578519780424, -0.5923867587077113, 0.45015785005263115, 0.2196030905997421, 0.2885473920378336, 0.3104379254080598, -0.100225109695814, 0.21447588758886393]",500
20,0.8544242539533882,0.8791379125827351,"[-0.5443630933665857, -0.32589255697736413, -0.09030596177723577, 0.44380337263872305, 0.23876284099785583, -0.1842069647339371, -0.2976479133631994, 0.0376058116917341]",500
21,0.8376226065191308,0.9122419994959184,"[-0.1682274224776532, 0.16569073303480114, -0.043998733180628635, -0.19190753017369577, 0.35997912380573227, -0.37628312341649117, 0.21063325182647755, -0.2920713848296628]",150
