,aveFitness,peakFitness,peakParameters,generation
0,0.862600924148652,0.8961141405356468,"[-0.14023051597316985, -0.26842371083387007, 0.03881808853431351, 0.4586856243143243, -0.18606335454473588, 0.17021148751393214, -0.4079004905362288, 0.3152915052253367]",500
1,0.8538586690317818,0.8755804347830995,"[-0.30325997791037884, -0.11126687641235256, -0.27673766705066793, -0.3487123891714534, -0.2810432235261888, 0.29823937602429124, 0.5898394664085465, -0.06333562176709767]",500
2,0.8563973409303329,0.8777653115739323,"[-0.4299038667190802, -0.3886116513115554, -0.5027771439809071, 0.3334702962784803, 0.14287777194817997, 0.08824395931724309, -0.24383538354404422, 0.10833410347618169]",500
3,0.825428851994174,0.9352228836733634,"[-0.3578909523538018, 0.1909863277105224, 0.14411420997895316, -0.019911486846755852, 0.08485468992995615, 0.20046881077289505, 0.29211851784969267, -0.018501382826509705]",157
4,0.8025090093137353,0.9046026618203964,"[0.0445949303684761, 0.3623860259721334, -0.31564210387566727, -0.16451147926181625, -0.2845036501088568, 0.34482976124436127, 0.27959156079649955, -0.1409343130099164]",91
